country_code;date;county;market;market_id;category;commodity;commodity_id;unit;price_flag;price_type;currency;local_price;price_usd
JPN;15/04/2011;JAPAN;Osaka;2620;cereals and tubers;Rice;52;5 KG;actual;Retail;JPY;2139;25.74
JPN;15/04/2011;JAPAN;Tokyo;2619;cereals and tubers;Rice;52;5 KG;actual;Retail;JPY;2399;28.87
JPN;15/04/2011;JAPAN;Tokyo;2619;cereals and tubers;Rice (glutinous, unmilled);196;KG;actual;Retail;JPY;598;7.2
JPN;15/05/2011;JAPAN;Osaka;2620;cereals and tubers;Rice;52;5 KG;actual;Retail;JPY;2090;25.87
JPN;15/05/2011;JAPAN;Osaka;2620;cereals and tubers;Rice (glutinous, unmilled);196;KG;actual;Retail;JPY;500;6.19
JPN;15/05/2011;JAPAN;Tokyo;2619;cereals and tubers;Rice;52;5 KG;actual;Retail;JPY;2375;29.4
JPN;15/05/2011;JAPAN;Tokyo;2619;cereals and tubers;Rice (glutinous, unmilled);196;KG;actual;Retail;JPY;590;7.3
JPN;15/06/2011;JAPAN;Osaka;2620;cereals and tubers;Rice;52;5 KG;actual;Retail;JPY;2116;26.11
JPN;15/06/2011;JAPAN;Osaka;2620;cereals and tubers;Rice (glutinous, unmilled);196;KG;actual;Retail;JPY;500;6.17
JPN;15/06/2011;JAPAN;Tokyo;2619;cereals and tubers;Rice;52;5 KG;actual;Retail;JPY;2432;30.01
JPN;15/06/2011;JAPAN;Tokyo;2619;cereals and tubers;Rice (glutinous, unmilled);196;KG;actual;Retail;JPY;598;7.38
JPN;15/07/2011;JAPAN;Osaka;2620;cereals and tubers;Rice;52;5 KG;actual;Retail;JPY;2066;26.12
JPN;15/07/2011;JAPAN;Osaka;2620;cereals and tubers;Rice (glutinous, unmilled);196;KG;actual;Retail;JPY;500;6.32
JPN;15/07/2011;JAPAN;Tokyo;2619;cereals and tubers;Rice;52;5 KG;actual;Retail;JPY;2405;30.4
